Marca temporal,¿Has tenido alguna empresa que ha fracasado?,Edad:,¿Con qué género te identificas más?,Nivel educativo: ,¿Cuántos años de experiencia laboral tienes?,¿Cuántas empresas has tenido? ,¿Cuántas de ellas siguen activas?,¿Qué tipo de empresa era?,¿Cuántos empleados tuvo? ,¿Cuántos años estuvo activa?,¿En qué estado(s) de la república tenía sus operaciones? ,¿Contaba con operaciones a nivel nacional o internacional?, ¿La empresa tenía un único dueño o varios socios? ,¿Cuál era el ingreso anual promedio de la empresa? (millones de pesos),¿Cómo calificarías los servicios de electricidad que te fueron proporcionados?,¿Sufriste algún tipo de pérdidas debido a la falta de este servicio? ¿Cuáles?,¿Consideras que el sector informal tuvo impacto en el cierre de tu negocio?, ¿Por qué?,¿Los niveles de inseguridad afectaron al desempeño de tu empresa? ,¿Cómo es que afectó a tu empresa?,¿Intentaste exportar o importar algún producto?, ¿Qué dificultades encontraste?,¿Cómo calificarías los trámites administrativos que la ley te pedía mes con mes?,¿Tuviste que contratar algún tipo de asesoría o apoyo para cumplir con todos los trámites anteriores?,¿Qué costo representó para ti mensualmente cumplir con esos trámites?,¿Cómo calificarías la tasa de impuestos que fueron asignados a tu empresa?,¿Tuviste que recurrir a algún tipo de práctica para pagar menos impuestos?,¿Podrías enlistar algunas de ellas?,¿Cuáles fueron los tres trámites más complicados durante la vida de tu empresa?,¿Te pidieron sobornos o realizar algún acto de corrupción durante tus trámites gubernamentales?,¿Aceptaste?,¿Cómo calificarías el proceso de cierre de tu empresa en términos administrativos?,¿Por qué?,¿Qué trámite consideras el más costoso en tiempo y dinero para el cierre de tu empresa?,¿Concluiste con todos los trámites?,¿Qué trámite o procedimiento no has concluido? ¿Por qué?,Indica los programas de gobierno de apoyo a PYMEs que conozcas,¿Cómo te enteraste de estos programas?,¿Has leído alguna de las convocatorias a dichos programas?,¿Consideras que estas convocatorias son accesibles para cualquier empresario?,¿Por qué?,¿Has hecho uso de alguno de estos programas?,¿Cuál programa utilizaste?,¿Cómo calificarías tu experiencia?,¿Tuviste un monitoreo constante por parte de las entidades gubernamentales?  ,¿Consideras que fue efectivo dicho seguimiento?,¿Consideras que los entregables y evidencias presentadas fueron una buena metodología de evaluación?,"Una vez terminado el programa, ¿se te dio algún tipo de seguimiento en los meses/años posteriores?",¿Qué relevancia tuvo este apoyo del gobierno en la muerte de tu empresa? ,¿Recibiste algún tipo de asesoría para participar en las convocatorias de alguno de los programas de gobierno?,¿En qué consistía este tipo de asesoría? ¿Podrías proporcionarnos un costo aproximado?,¿Consideras claro y transparente el proceso de selección de los distintos programas?,¿Fuiste testigo de prácticas corruptas en en el proceso?,¿Consideras que existe algún tipo de favoritismo en la selección de candidatos?,¿Por qué?,¿Encontraste que la oferta de programas del gobierno respondía a las necesidades de tu empresa?,¿Por qué?,¿Qué tipo de apoyo por parte del gobierno consideras que hizo falta para que tu empresa no fracasara?,¿En algún momento fuiste invitado por parte del gobierno a participar en alguna asociación empresarial o clúster?,En el caso de que hayas participado ¿fue de utilidad para tu empresa?,¿Por qué?
7/21/2016 20:14:02,Sí,35,Masculino,Licenciatura,8,2,1,Comercio,3,1,Ciudad de México,Nacional,Varios socios,cero a medio millón,4,tiempo,No,,No,,No,,4,No,,3,No,,electricidad,Sí,Sí,3,acuerdos,notario,Sí,,INADEM ,Internet,Sí,Sí,sencillas,No,,,,,,,,,,Sí,No,No,no he participado,No,no he participado,si,No,No aplica,
7/21/2016 20:27:23,Sí,26,Femenino,Licenciatura,3,2,1,multinivel,0,3,"Ciudad de México, México",Nacional,Varios socios,cero a medio millón,3,Ninguno,No,,No,Las malas prácticas de los pseudo líderes que solo velaron por sus intereses,No,"Reinversión, utilidades, ventas y un equipo.",3,No,,4,No,,"Mi primer emprendimiento fue un multinivel por lo que no hubieron trámites engorrosos como los estoy teniendo hoy con mi Startup, ni siquiera con el otro negocio que es venta de artículos de anime en un bazar.",No,No,1,Simplemente fue una separación donde dejé de pagar mi cuota mensual.,"Acta constitutiva, y registro de marca",No,,INADEM ,Semana del emprendedor,Sí,No,Son muchos documentos que o te enfocas en la elaboración de estos o te enfocas en echar a andar la empresa.,Apliqué pero no fui seleccionado,,,,,,,,,,No,No,Sí,"Como todo órgano o dependencia de gobierno, les dan chance a sus cuates y a cambio se mochan con una parte del monto que se les otorga.",No,"No hay una donde puedas sostenerte como emprendedor, siempre tienes que buscar otra fuente de ingresos para poder sustentar los gastos de tu startup",El de arriba.,No,No aplica,
7/21/2016 20:37:39,Sí,36,Masculino,Licenciatura,8,2,1,Automatización de edificios  en qué categoría entrará?,5,3,"Ciudad de México, Guerrero",Nacional,Varios socios,cero a medio millón,1,Robo de automóvil al visitar los clientes en Acapulco (hoteles) por falta de seguridad. ,No,,Sí,Robo de automóvil al visitar los clientes en Acapulco (hoteles) por falta de seguridad. Nos bajaron del auto con pistola frente a un hotel al que queríamos ir a mostrar nuestros productos.,No,,5,Sí,10.000,5,Sí,"Queríamos ahorrar dinero para comprar maquinaria, lo cual al final del año nos causó que tuviéramos la tasa altísima del ISR sin que tuviéramos ni medio millon de pesos en ventas... no se diga la utilidad..   Así que simplemente no pudimos seguir nuestros objetivos porque hay que aprenderse las leyes de los impuestos para ver como le puedes hacer para ahorrar 250 mil pesos sin que te pongan al siguiente año un ISR altísimo..     Empezamos a gastarnos lo que ganabamos de manera descontrolada pues el contador nos dijo que por el ISR no nos convenía ahorrar nada ese año...  (pinches leyes.. quien las hizo fue para poner trabas a los que espesamos ) SE DEBERÍA DE DAR UN TRATO DIFERENTE  A LAS PYMES ""micro empresas"" ","Trámites con el IMSS, Trámites de importación de mercancías... participar en concursos por fondos del INADEM, CONACYT...  son super tardados... nos tomó de dos a 4 semanas llenar los formatos.",No,No,3,,,No,"La empresa sigue abierta, pero le cambiamos el giro completamente, ninguno de los trabajadores permaneció en la empresa solo el fundador (yo mero) y todo el esfuerzo de 3 años o más simplemente lo tuvimos que detener... ","Programas de incubación de empresas en universidades, (nos incubaron en INOVAUNAM BT) apoyo para solicitar patentes por parte del ICYT DF (aplicamos y nos dieron el apoyo) y SEDECO fuimos a capacitaciones, NAFIN fuimos a capacitaciones y son los que aprovechamos, sabemos que hay mas pero solo nos acercamos a estos.",Por la incubadora INOVAUNAM principalmente,Sí,No,"A las convocatorias del CONACYT en las que participamos, solicitan que se llenen formatos como de 40 hojas con un montonal de información, hay que agregar planes de negocio, encargados técnicos, administrativo, contable por parte de la empresa solo para el proyecto... entonces, no es viable participar para empresas de 3 o 5 personas...",Sí,"Incubación de empresas en INOVAUNAMM, financiamiento para asesoría legal en la solicitud de pantente ante el IMPI.",2,Sí,Sí,No,Sí,5,Sí,,No,Sí,Sí,Apoyos económicos del CONACYT resulta que ganan los apoyos millonarios empresas trasnacionales... es apoyo a empresas mexicanas o a empresas extranjeras multimillonareas en México?,Sí,"Unas ofertas si, otras no.","Apoyo en cuestión de impuestos, una mejor definición de el target de los apoyos, pues participamos muchas veces por fondos gubernamentales, pero después de dos años de intentarlo nos dimos cuenta de que los fondos no se destinaban a empresas pequeñas como la nuestra aunque tuviéramos desarrollos tecnológicos en proceso de patentación.     De verdad le dedicamos muchísimo tiempo a llenar los formatos del conacyt, una o dos personas trabajando casi de tiempo completo para recabar información y generar documentación que solicitan ahí... pero para una ""micro"" implica dedicar el 25 o 50% de tus recursos humanos durante medio mes o un mes para participar en esos fondos.",No,No aplica,
7/22/2016 16:27:34,Sí,34,Masculino,Licenciatura,17,5,0,Industrial,36,2,Ciudad de México,Nacional,Varios socios,medio a un millón,5,tener que instalar mi propio transformador haciendo la inversion de 200 mil pesos,SÍ,competencia roba luz y baja sus costos,Sí,me llegaron a robar cargamentos completos,Sí,falta de informacion para saber la direccion a seguir,5,No,,3,No,,"licencia de funcionamiento, cambio de uso de suelo, ",Sí,Sí,5,en realidad no se nisiquiera lo que hay que hacer. simplemente cerre y ya,,No,,INADEM ,empresarios o agencias que ofrecen bajar los fondos por un porcentaje ,Sí,No,"nuevas politicas lo hacen complicado, segun se , ahora tienes que ser una empresa funcionando para poder aplicar,, antes era un proyecto que buscaba apoyo. ",Apliqué pero no fui seleccionado,,,,,,,,,,No,No,No,"solamente no lo se pero lo veo muy posible, ya que al final lo filtran personas y siempre puede haber favoritismos",Sí,"la idea de recibir ayuda , ya sea para abrir puertas tipo exportacion, o economicas etc, siempre es buena. ",apoyo en creditos para industrias sin infrastructura optima de acuerdo a las normas,No,No aplica,
7/22/2016 22:17:04,Sí,27,Femenino,Licenciatura,9,2,1,Servicios,2,2,Tlaxcala,Nacional,Único dueño,cero a medio millón,5,,SÍ,POR LA VARIEDAD EN PRECIOS,No,,No,,4,Sí,3000,4,No,,REGISTRO,Sí,Sí,3,,LOS PERMISOS ANTE EL MUNICIPIO,Sí,,,NO,No,No,FALTA DE INFORMACION,No,,,,,,,,,,No,Sí,Sí,INFLUENCIAS,No,NO,ORIENTACION,No,No aplica,
7/24/2016 11:30:49,Sí,52,Femenino,Maestría,30,3,2,Comercio,30,5,México,Internacional,Único dueño,tres millones o más,2,Equipos descompuestos por la variación de energia,No,,Sí,Me asaltaron y se llevaron todo lo de la oficina,Sí,Asaltos en carretera,4,Sí,El 60% de la operacion,5,Sí,Omitir informacion,Certificaciones,Sí,Sí,5,"Malas decisiones, robos, asaltos y abuso de confianza por parte de empleados",Dar de baja,No,Porque me piden dinero,INADEM ,Amigos,Sí,No,Falta difusión y apoyo,No,,,,,,,,,,No,No,Sí,Porque es mala la información y la gente recurre a los amigos,No,Son de poco apoyo para las necesidades,"Asesoría, seguridad, información de calidad",No,No aplica,
7/24/2016 18:48:33,Sí,50,Masculino,Preparatoria,35,4,1,Servicios,50,5,Baja California Norte,Nacional,Varios socios,medio a un millón,3,NO,No,,Sí,UN INCENDIO Y PERDIDA DE INFORMACION,Sí,SOPORTE ACOSO FISCAL TANTO DEL ESTADO COMO FEDERAL,5,Sí,25,5,No,,PAGO DE IMPUESTOS,Sí,No,5,LIQUIDACIONES Y PAGO DE INDEMNISACIONES,LABORAL,Sí,,,N/A,No,No,NO EXISTE UNA INFORMACION REAL Y CONCISA,No,,,,,,,,,,No,No,No,NO LOS CONOZCO,No,EN ESE ENTONCES NO SE DIFUNDIÓ LA INFORMACION,ESTIMULOS FISCALES Y PRECIOS JUSTOS DE PAGO DE SEVICIOS,No,No aplica,NO EXISTIAN LOS CLUSTER PARA PYMES EN ESE TIEMPO
7/25/2016 11:17:41,Sí,32,Femenino,Licenciatura,10,2,0,Servicios,4,Menos de 1 año,México,Nacional,Varios socios,cero a medio millón,5,"Si, robo",SÍ,Amenaza de muerte por taladores ilegales y comunidad que explotaba el terreno ilegalmente,Sí,"Robo de materiales, traspaso, saboteo, contaminación por basura",No,,5,Sí,50,5,Sí,"Si tuve, pero al final no lo hicimos. Corrupción, mordidas, trámites interminables por no pagar eso",Arreglar los papeles de derecho de propiedad privada. Mapa de límites de la propiedad. Arreglo del camino de acceso al lugar. Arreglar papeles para dejar en orden quienes eran los nuevos propietarios,Sí,No,5,Hubo mucha inversión y no hubo resultados,Map de límite del terreno y poner a nombre de las dueñas el terreno,No,La administración extravió los papeles,INADEM ,Redes sociales,Sí,No,Son complejas si no tienes experiencia en el sector,No,,,,,,,,,,No,No,Sí,Personas conocidas en el medio o por los jefes,No,Porque en ese entonces no daban incentivos para reforestación o protección a áreas naturales sin que fueran protegidas y luego poder quitarlas,"Tramites de gobierno, incentivos si se apoyaba a comunidades marginadas, y a conservación ambiental",Sí,No,Los otros empresarios no querían más competencia y nos robaban las ideas
7/25/2016 12:03:24,Sí,27,Masculino,Licenciatura,2,1,0,Servicios,5,1,Puebla,Nacional,Único dueño,cero a medio millón,3,No.,SÍ,Por la cultura en México.,No,,No,,3,Sí,,3,Sí,Con un contador,"Apertura, permisos, impuestos",No,No,3,No hubo problemas,,No,,No recuerdo,Amigos o escuela,Sí,Sí,Porque son muy abiertos,No,,,,,,,,,,No,No,Sí,Es México,Sí,Porque prestaban dinero,...,No,No aplica,
7/25/2016 13:07:37,Sí,36,Femenino,Licenciatura,15,1,0,Comercio,1,1,Ciudad de México,Nacional,Varios socios,cero a medio millón,3,No,No,,No,,No,Económicas ,5,Sí,1500 mensuales ,3,No,,"El registro del nombre, de la firma para facturar y la declaración de impuestos ",No,No,5,Por la declaración de impuestos ,Cancelar la cuenta del banco ,No,Cierre de la cuenta de banco ,No recuerdo el nombre,Amigos,Sí,No,Demasiados trámites ,No,,,,,,,,,,No,No,Sí,Por el tipo de negocios a los que se les otorga,Sí,"Por qué el financiamiento era solo para capacitación, es decir, no se podían comprar herramientas de trabajo, remodelaciones, etc. ",Apoyo económico para financiarla,No,No aplica,
7/27/2016 6:50:11,Sí,40,Masculino,Licenciatura,22,6,4,Servicios,10,10,Ciudad de México,Nacional,Único dueño,un millón a tres millones,2,No,No,,No,,No,,4,Sí,200,5,Sí,"Mecanismo fiscal, outsorcing, estrategias","Marca, alta, lo fiscal contable",Sí,No,5,Es más difícil cerrar que abrir sobre todo en lo contable y fiscal,Hacienda,No,Cierre completo,INADEM ,Por ecosistema,Sí,No,Impresionantemente engorrosas,Sí,3.3,5,No,No,No,No,5,No,,No,Sí,Sí,Porque no puedes criticar nada por lo sensibles que son y te vetan,No,No entienden de empresa,Sistema fiscal acorde a Start Up y financiamiento a proyectos específicos más simples,Sí,No,"Es pura grilla,"
7/27/2016 9:51:57,Sí,70,Masculino,Licenciatura,45,3,1,Servicios,3,6,Jalisco,Nacional,Varios socios,cero a medio millón,1,ninguno,No,,No,,No,,3,Sí,1600,3,No,,el alta --las declaraciones anuales----las licencias,No,No,3,por la falta de tiempo para realizar los trámites,la baja,Sí,,NO LOS CONOZCO,NO TUVE ACCESO A ESA INFORMACION,No,No,NOS SON DESCONOCIDAS A LA MAYOR PARTE DE NOSOTROS,Apliqué pero no fui seleccionado,,,,,,,,,,Sí,No,No,NO CONOZCO MUCHO DE LOS PROCESOS,No,NO LAS CONOZCO,NO CULPO AL GOBIERNO,No,No aplica,
7/27/2016 10:12:40,Sí,36,Masculino,Maestría,20,3,2,Servicios,3,1,Sinaloa,Nacional,Varios socios,cero a medio millón,2,No,No,,No,,No,,4,Sí,2000,4,No,,"Constitucion de la empresa, alta en hacienda y contratos de servicios",No,No,3,Temas más personales fueron los complicados,Despedir empleados,Sí,,INADEM ,Internet y promocionales,Sí,No,Tienen mucho lenguaje legal y muchas veces no son claros los requisitos.,Sí,"Inadem, apoyo en equipo de computo",3,Sí,Sí,Sí,No,4,No,,No,No,No,Depende mucho del gestor o consultor y su experiencia bajando fondos mas que favoritismos desde mi punto de vista,No,Por que no se alineaba a mi tipo de negocio,Tramites mas sencillos e incentivos fiscales,No,No aplica,
7/27/2016 23:42:57,Sí,40,Masculino,Licenciatura,22,6,4,Industrial,200,10,Colima,Internacional,Varios socios,tres millones o más,2,No,SÍ,Tienen ventajas en los costos por no seguir las leyes y reglas. ,Sí,"Extorsion, ya no se pudo garantizar el bienestar de los empleados",Sí,Ninguno ,3,Sí,No medimos. ,3,Sí,,"Semarnat, licencia de exportacion",Sí,No,5,Se toma mucho tiempo,SAT,No,SAT,No conozco,No particamos ,No,No,"Mal escrito, muy difícil de entender ",No,,,,,,,,,,No,No,Sí,Todo está basado en las relaciones ,No,No encajamos por el tamaño/fase de desarrollo de la empresa,"Poner orden, reducir el nivel de inseguridad y la informalidad. ",No,No aplica,
